,index,fecha,recuperados,fallecidos,isopados,positivos
0,0,2022-08-14,339,4,1465,235
1,1,2022-08-07,383,0,1744,377
2,2,2022-07-31,409,3,2088,475
3,3,2022-07-24,317,3,1588,333
4,4,2022-07-17,259,2,1629,347
5,5,2022-07-10,213,0,1403,314
6,6,2022-07-03,88,0,848,152
7,7,2022-06-26,64,0,964,106
8,8,2022-06-19,15,0,736,40
9,9,2022-06-13,21,0,1028,27
10,10,2022-06-06,32,0,1206,25
11,11,2022-05-30,22,0,1077,23
12,12,2022-05-23,19,0,1084,28
13,13,2022-05-16,10,0,788,14
14,14,2022-05-09,3,0,885,8
15,15,2022-05-02,2,0,741,2
16,16,2022-04-25,1,0,683,2
17,17,2022-04-18,3,0,843,3
18,0,2021-04-25,997,16,5418,1370
19,1,2021-05-02,2064,10,6687,1816
20,2,2021-05-09,2495,19,8406,2774
21,3,2021-05-16,1045,22,7322,2667
22,4,2021-05-23,1449,74,10680,4369
23,5,2021-05-30,1401,80,12637,4790
24,6,2021-06-06,1766,63,11855,4311
25,7,2021-06-13,1478,68,9882,3345
26,8,2021-06-20,5269,25,8491,2952
27,9,2021-06-27,8687,45,9187,2845
28,10,2021-07-04,4243,37,9352,3025
29,11,2021-07-11,3054,32,10954,3038
30,12,2021-07-18,2805,36,9842,2441
31,13,2021-07-25,3382,36,9477,2168
32,14,2021-08-01,3771,37,10779,2307
33,15,2021-08-08,2800,25,10120,1733
34,16,2021-08-15,2209,20,9295,1292
35,17,2021-08-22,1963,17,8630,366
36,18,2021-08-29,1393,8,6895,391
37,19,2021-09-05,663,5,5549,255
38,20,2021-09-12,644,1,5411,130
39,21,2021-09-19,2063,0,4135,83
40,22,2021-09-26,104,3,4157,88
41,23,2021-10-03,63,0,3313,40
42,24,2021-10-10,50,0,3348,54
43,25,2021-10-17,24,0,2611,45
44,26,2021-10-24,39,2,3333,61
45,27,2021-10-31,53,1,2377,27
46,28,2021-11-07,182,0,2577,11
47,29,2021-11-14,106,0,2667,32
48,30,2021-11-21,8,0,2313,23
49,31,2021-11-28,47,0,2585,35
50,32,2021-12-05,55,0,2267,80
51,33,2021-12-12,66,1,2886,115
52,34,2021-12-19,112,1,3314,286
53,35,2021-12-26,259,2,8437,2426
54,36,2022-01-02,1054,5,26109,9987
55,37,2022-01-09,14649,8,24051,11080
56,38,2022-01-16,7954,32,11688,5254
57,39,2022-01-23,6230,36,5879,1809
58,40,2022-01-30,2009,25,4485,614
59,41,2022-02-06,793,4,3348,231
60,42,2022-02-13,285,0,4124,147
61,43,2022-02-20,227,0,5998,87
62,44,2022-02-27,372,0,5470,51
63,45,2022-03-06,298,0,4153,22
64,46,2022-03-13,139,0,2261,6
65,47,2022-03-20,31,0,2095,5
66,48,2022-03-27,9,0,1742,6
67,49,2022-04-03,5,0,1698,5
68,50,2022-04-10,4,0,933,1
69,51,2022-04-17,0,0,153,0
